window_center,caused_node,causing_node,fevd_share,method,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence
316800.0,usdc_coinbase,usdc_coinbase,0.900391375481906,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_coinbase and usdc_coinbase (Tier B proxy data).
316800.0,usdc_coinbase,usdc_binance,0.0398659837131712,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_binance and usdc_coinbase (Tier B proxy data).
316800.0,usdc_coinbase,usdt_binance,0.039865983713170315,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and usdc_coinbase (Tier B proxy data).
316800.0,usdc_coinbase,curve_3pool,0.01987665709127422,tvp_var_rolling,usdc_svb_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_coinbase.
316800.0,usdc_binance,usdc_coinbase,0.3842835983353315,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_coinbase and usdc_binance (Tier B proxy data).
316800.0,usdc_binance,usdc_binance,0.2843752716200616,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_binance and usdc_binance (Tier B proxy data).
316800.0,usdc_binance,usdt_binance,0.2843752716200617,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).
316800.0,usdc_binance,curve_3pool,0.04696585842432259,tvp_var_rolling,usdc_svb_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.
316800.0,usdt_binance,usdc_coinbase,0.3842835983353318,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_coinbase and usdt_binance (Tier B proxy data).
316800.0,usdt_binance,usdc_binance,0.28437527162006143,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).
316800.0,usdt_binance,usdt_binance,0.2843752716200615,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).
316800.0,usdt_binance,curve_3pool,0.04696585842432258,tvp_var_rolling,usdc_svb_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.
316800.0,curve_3pool,usdc_coinbase,0.40963345174879146,tvp_var_rolling,usdc_svb_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from usdc_coinbase to curve_3pool.
316800.0,curve_3pool,usdc_binance,0.24705202149533742,tvp_var_rolling,usdc_svb_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from usdc_binance to curve_3pool.
316800.0,curve_3pool,usdt_binance,0.2470520214953365,tvp_var_rolling,usdc_svb_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.
316800.0,curve_3pool,curve_3pool,0.09626250526045667,tvp_var_rolling,usdc_svb_2023,A,A,A,false,true,A_A_directional_microstructure,Both endpoints have Tier A provenance.,directional,We find directional microstructure transmission from curve_3pool to curve_3pool.
403200.0,usdc_coinbase,usdc_coinbase,0.7818795077740549,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_coinbase and usdc_coinbase (Tier B proxy data).
403200.0,usdc_coinbase,usdc_binance,0.08551854847286953,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_binance and usdc_coinbase (Tier B proxy data).
403200.0,usdc_coinbase,usdt_binance,0.0855185484728707,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and usdc_coinbase (Tier B proxy data).
403200.0,usdc_coinbase,curve_3pool,0.04708339527963766,tvp_var_rolling,usdc_svb_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_coinbase.
403200.0,usdc_binance,usdc_coinbase,0.31737350451337476,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_coinbase and usdc_binance (Tier B proxy data).
403200.0,usdc_binance,usdc_binance,0.32182652276150325,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_binance and usdc_binance (Tier B proxy data).
403200.0,usdc_binance,usdt_binance,0.3218265227615036,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).
403200.0,usdc_binance,curve_3pool,0.03897344996340772,tvp_var_rolling,usdc_svb_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.
403200.0,usdt_binance,usdc_coinbase,0.3173735045133748,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_coinbase and usdt_binance (Tier B proxy data).
403200.0,usdt_binance,usdc_binance,0.32182652276150314,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).
