caused_node,causing_node,fevd_share,horizon,method,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence,feature_tier,provenance_claim_allowed,statistical_claim_allowed,paper_claim_allowed,claim_strength,event_id,fevd_share_mean,fevd_share_max,fevd_share_std,n_windows
curve_crvusd_usdt,curve_crvusd_usdt,0.00993432268035821,10,table_var_spillovers,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_crvusd_usdt.,B,true,false,false,suggestive,usdt_curve_2023,,,,
curve_crvusd_usdt,curve_3pool,0.03265400764119675,10,table_var_spillovers,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,B,true,false,false,suggestive,usdt_curve_2023,,,,
curve_crvusd_usdt,usdt_binance,0.9574116696784449,10,table_var_spillovers,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_crvusd_usdt.,B,true,false,false,suggestive,usdt_curve_2023,,,,
curve_3pool,curve_crvusd_usdt,0.018798421515766425,10,table_var_spillovers,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,B,true,false,false,suggestive,usdt_curve_2023,,,,
curve_3pool,curve_3pool,0.09859791071394547,10,table_var_spillovers,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,B,true,false,false,suggestive,usdt_curve_2023,,,,
curve_3pool,usdt_binance,0.882603667770288,10,table_var_spillovers,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive,usdt_curve_2023,,,,
usdt_binance,curve_crvusd_usdt,0.026448308919823055,10,table_var_spillovers,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_crvusd_usdt to usdt_binance.,B,true,false,false,suggestive,usdt_curve_2023,,,,
usdt_binance,curve_3pool,0.13971692716495235,10,table_var_spillovers,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive,usdt_curve_2023,,,,
usdt_binance,usdt_binance,0.8338347639152245,10,table_var_spillovers,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive,usdt_curve_2023,,,,
curve_3pool,usdc_coinbase,,,table_tvp_var_summary,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_coinbase to curve_3pool.,B,true,false,false,suggestive,usdc_svb_2023,0.37971046776979517,0.752295463153303,0.24113292542910306,5
usdt_binance,curve_3pool,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive,usdc_svb_2023,0.3150716719662522,0.7426857383589649,0.38068473974380657,5
usdc_binance,curve_3pool,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.,B,true,false,false,suggestive,usdc_svb_2023,0.31282305918446535,0.7506661710818354,0.3779231407501266,5
usdc_coinbase,curve_3pool,,,table_tvp_var_summary,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_coinbase.,B,true,false,false,suggestive,usdc_svb_2023,0.29960087724850215,0.7466376510158723,0.36883893478457663,5
usdc_binance,usdc_coinbase,,,table_tvp_var_summary,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_coinbase and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive,usdc_svb_2023,0.2798605107653917,0.3842835983353315,0.07339020571822609,5
