node_i,node_j,peak_lag_steps,peak_corr,p_value,significant_p01,p_value_fdr,significant_fdr,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence,feature_tier,provenance_claim_allowed,statistical_claim_allowed,paper_claim_allowed,claim_strength,method,feature_col,grid_seconds,peak_lag_seconds,p_bonferroni,significant_bonferroni,event_phase,caused_node,causing_node,fevd_share,horizon,te_i_to_j,p_value_block,significant_p05,p_value_block_fdr,significant_block_fdr,fevd_share_mean,fevd_share_max,fevd_share_std,n_windows
usdc_coinbase,usdc_binance,-60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_coinbase and usdc_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
usdc_coinbase,usdt_binance,-60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_coinbase and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
usdc_coinbase,curve_3pool,0,-0.7177701570441987,0.0,true,0.0,true,usdc_svb_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_coinbase to curve_3pool.,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
usdc_binance,usdc_coinbase,60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdc_coinbase (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
usdc_binance,usdt_binance,0,1.0,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
usdc_binance,curve_3pool,-24,0.7996604348275566,1.0,false,1.0,false,usdc_svb_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_binance to curve_3pool.,B,true,false,false,suggestive,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
usdt_binance,usdc_coinbase,60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_coinbase (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
usdt_binance,usdc_binance,0,1.0,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
usdt_binance,curve_3pool,-24,0.7996604348275566,1.0,false,1.0,false,usdc_svb_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
curve_3pool,usdc_coinbase,0,-0.7177701570441987,0.0,true,0.0,true,usdc_svb_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_coinbase.,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
curve_3pool,usdc_binance,24,0.7996604348275566,1.0,false,1.0,false,usdc_svb_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.,B,true,false,false,suggestive,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
curve_3pool,usdt_binance,24,0.7996604348275566,1.0,false,1.0,false,usdc_svb_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
curve_3pool,curve_ust_wormhole,3,-0.0718504567386627,1.0,false,1.0,false,terra_luna_2022,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_ust_wormhole.,A,true,false,false,suggestive,table_leadlag_tests,usdc_net_sold_1h,3600,10800,1.0,false,all,,,,,,,,,,,,,
curve_ust_wormhole,curve_3pool,-3,-0.07185045673866271,1.0,false,1.0,false,terra_luna_2022,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_ust_wormhole to curve_3pool.,A,true,false,false,suggestive,table_leadlag_tests,usdc_net_sold_1h,3600,-10800,1.0,false,all,,,,,,,,,,,,,
curve_3pool,curve_crvusd_usdt,0,0.3857373968561427,0.007,true,0.007,true,usdt_curve_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,A,true,true,true,robust,table_leadlag_tests,usdc_net_sold_1h,3600,0,0.014,true,all,,,,,,,,,,,,,
curve_crvusd_usdt,curve_3pool,0,0.3857373968561427,0.0,true,0.0,true,usdt_curve_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,A,true,true,true,robust,table_leadlag_tests,usdc_net_sold_1h,3600,0,0.0,true,all,,,,,,,,,,,,,
usdt_binance,busd_binance,60,-0.4528405507372991,0.0,true,0.0,true,ftx_2022,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
usdt_binance,curve_3pool,-41,0.42011018606632744,0.298,false,0.298,false,ftx_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
busd_binance,usdt_binance,-60,-0.4528405507372991,0.0,true,0.0,true,ftx_2022,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
busd_binance,curve_3pool,-1,-0.6878269828110009,0.0,true,0.0,true,ftx_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
curve_3pool,usdt_binance,41,0.42011018606632744,0.139,false,0.1668,false,ftx_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
curve_3pool,busd_binance,1,-0.6878269828110009,0.0,true,0.0,true,ftx_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
usdc_binance,usdt_binance,0,0.9999999999999998,0.0,true,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
usdc_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and busd_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,,,,,,,,,
