window_center,caused_node,causing_node,fevd_share,method,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,feature_tier,provenance_claim_allowed,claim_allowed,claim_level,claim_language,claim_reason,claim_sentence,statistical_claim_allowed,paper_claim_allowed,claim_strength,window_start_override,window_end_override,sub_window
-122400.0,curve_3pool,curve_3pool,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,false,false,suggestive,,,usdt_curve_2023 [full]
-122400.0,curve_3pool,curve_crvusd_usdt,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,false,false,suggestive,,,usdt_curve_2023 [full]
-122400.0,curve_crvusd_usdt,curve_3pool,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,false,false,suggestive,,,usdt_curve_2023 [full]
-122400.0,curve_crvusd_usdt,curve_crvusd_usdt,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_crvusd_usdt.,false,false,suggestive,,,usdt_curve_2023 [full]
-3600.0,curve_3pool,curve_3pool,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,false,false,suggestive,,,usdt_curve_2023 [full]
-3600.0,curve_3pool,curve_crvusd_usdt,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,false,false,suggestive,,,usdt_curve_2023 [full]
-3600.0,curve_crvusd_usdt,curve_3pool,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,false,false,suggestive,,,usdt_curve_2023 [full]
-3600.0,curve_crvusd_usdt,curve_crvusd_usdt,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_crvusd_usdt.,false,false,suggestive,,,usdt_curve_2023 [full]
100800.0,curve_3pool,curve_3pool,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,false,false,suggestive,,,usdt_curve_2023 [full]
100800.0,curve_3pool,curve_crvusd_usdt,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,false,false,suggestive,,,usdt_curve_2023 [full]
100800.0,curve_crvusd_usdt,curve_3pool,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,false,false,suggestive,,,usdt_curve_2023 [full]
100800.0,curve_crvusd_usdt,curve_crvusd_usdt,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_crvusd_usdt.,false,false,suggestive,,,usdt_curve_2023 [full]
216000.0,curve_3pool,curve_3pool,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,false,false,suggestive,,,usdt_curve_2023 [full]
216000.0,curve_3pool,curve_crvusd_usdt,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,false,false,suggestive,,,usdt_curve_2023 [full]
216000.0,curve_crvusd_usdt,curve_3pool,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,false,false,suggestive,,,usdt_curve_2023 [full]
216000.0,curve_crvusd_usdt,curve_crvusd_usdt,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_crvusd_usdt.,false,false,suggestive,,,usdt_curve_2023 [full]
385200.0,curve_3pool,curve_3pool,0.0,tvp_var_rolling,usdt_curve_2023,A,A,A,false,B,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),Both endpoints are Tier-A DEX (AMM) nodes.,We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,false,false,suggestive,,,usdt_curve_2023 [full]
